iter	RMSE
226	0.7478370011
227	0.745964513
228	0.7443900288
229	0.7425279457
230	0.7408643312
231	0.739185773
232	0.7378186381
233	0.7363293233
234	0.7349308565
235	0.7331038274
236	0.7313958097
237	0.7301319104
238	0.7287221731
239	0.7275110329
240	0.7259227728
241	0.7248135319
242	0.7238289413
243	0.7228577727
244	0.7209189374
245	0.7190578906
246	0.7173999536
247	0.7164660641
248	0.7148216057
249	0.7135747518
250	0.7113242117
251	0.710291234
252	0.7090029964
253	0.7075161063
254	0.7059393012
255	0.7052062533
256	0.7041697076
257	0.7031067776
258	0.7018982641
259	0.7003483075
260	0.6994608438
261	0.6980108331
262	0.6971524987
263	0.6958233894
264	0.6946162251
265	0.693432958
266	0.6924908441
267	0.6910873098
268	0.6901153922
269	0.6886519029
270	0.6871766393
271	0.6861166608
272	0.6847737923
273	0.6839083209
274	0.6829045359
275	0.6819777503
276	0.6808778529
277	0.6800862462
278	0.6789508229
279	0.6780142676
280	0.6770834185
281	0.6758657306
282	0.6748338434
283	0.673614758
284	0.6727935161
285	0.6719271745
286	0.6705819032
287	0.66953317
288	0.6681382846
289	0.6673451441
290	0.6664168326
291	0.6656737522
292	0.6641104818
293	0.6626688368
294	0.6613152994
295	0.6603603939
296	0.6598357907
297	0.6590471155
298	0.6579699597
299	0.6570966343
300	0.6558589139
301	0.6543730048
302	0.6532455304
303	0.6521965435
304	0.6514105377
305	0.6506641222
306	0.6500399833
307	0.6486134927
308	0.6475394483
309	0.6469184729
310	0.6463249841
311	0.6455709778
312	0.6446339815
313	0.643319057
314	0.6423728022
315	0.641582022
316	0.6408308444
317	0.6403521765
318	0.6393672546
319	0.6381011052
320	0.6371204517
321	0.636449103
322	0.6358695631
323	0.6353261413
324	0.6344271287
325	0.6333066348
326	0.6321936098
327	0.6315334454
328	0.6305016942
329	0.6293074825
330	0.6284360074
331	0.6275581116
332	0.6266090217
333	0.6257166931
334	0.6251422386
335	0.6247112584
336	0.6236695851
337	0.6230423874
338	0.6223523011
339	0.6215057915
340	0.6206756802
341	0.6200351944
342	0.6190232783
343	0.6181627979
344	0.6175606582
345	0.6164001859
346	0.6158012499
347	0.6149697242
348	0.614404898
349	0.6132979289
350	0.6120578623
351	0.6106761209
352	0.6100246612
353	0.6092261886
354	0.6084238945
355	0.6075060225
356	0.6065137331
357	0.6060412644
358	0.6050185676
359	0.604427956
360	0.6035012358
361	0.6031190086
362	0.6021042546
363	0.6014560277
364	0.6008521472
365	0.6005290382
366	0.5996379745
367	0.5988709392
368	0.5977827477
369	0.5971698031
370	0.5965420929
371	0.5954408724
372	0.594864973
373	0.5942025245
374	0.5937584415
375	0.5932950056
376	0.5920563642
377	0.5912685461
378	0.5906327284
379	0.5899376569
380	0.5895417376
381	0.5885541951
382	0.5879319625
383	0.5867793367
384	0.5863383092
385	0.5852194058
386	0.5840871943
387	0.5830559713
388	0.5822932175
389	0.5813686499
390	0.5805220485
391	0.579952764
392	0.5792661974
393	0.5781933957
394	0.5772782797
395	0.5761598148
396	0.5751604464
397	0.5741330786
398	0.5735564982
399	0.572713307
400	0.5722157531
401	0.5718252917
402	0.5713258295
403	0.5706940628
404	0.5702710448
405	0.5693550388
406	0.5686162005
407	0.5680405101
408	0.5671333646
409	0.566494565
410	0.566133907
411	0.5652775361
412	0.5648771282
413	0.5643767013
414	0.5636837204
415	0.5629638405
416	0.5624209693
417	0.5615557395
418	0.5612287815
419	0.5605555904
420	0.5601822997
421	0.5598164411
422	0.55902086
423	0.5584530025
424	0.5577589371
425	0.5569287302
426	0.556516224
427	0.5559015347
428	0.5553136077
429	0.5545576866
430	0.5538385552
431	0.5531815423
432	0.5527957996
433	0.5520971294
434	0.5516811204
435	0.5512463788
436	0.5505739019
437	0.5499467408
438	0.549128404
439	0.548729232
440	0.5482206247
441	0.5475751535
442	0.5471511558
443	0.5466310165
444	0.5459426522
445	0.5452280197
446	0.5449447525
447	0.5445732366
448	0.5442255149
449	0.5437633381
450	0.5429237143
451	0.5423360317
452	0.5419245814
453	0.541493525
454	0.5407219369
455	0.5402533597
456	0.5397934664
457	0.5393733805
458	0.5383370275
459	0.5379009612
460	0.5373652965
461	0.5368087639
462	0.5364109844
463	0.535903269
464	0.535235674
465	0.5346447183
466	0.5341390524
467	0.5331024564
468	0.5324245712
469	0.5317283358
470	0.53108906
471	0.5303746237
472	0.529690349
473	0.5290522664
474	0.5287423943
475	0.5284465733
476	0.5280593926
477	0.5273618828
478	0.5269838174
479	0.5262528544
480	0.5256168574
481	0.5252041163
482	0.5246009946
483	0.5241912541
484	0.5239043061
485	0.5234496512
486	0.5231869058
487	0.5229084497
488	0.522553846
489	0.5221630418
490	0.5214660359
491	0.5211588447
492	0.52035536
493	0.5197941969
494	0.5195013022
495	0.5187653015
496	0.5182825517
497	0.5175823242
498	0.5173079774
499	0.5166781187
500	0.5163288039
501	0.5159756299
502	0.5157536107
503	0.5154225336
504	0.5148514798
505	0.5144852938
506	0.5141544548
507	0.5137639097
508	0.5132364128
509	0.5128912738
510	0.5125834402
511	0.5122540967
512	0.5119758325
513	0.5117708531
514	0.5113627133
515	0.511027015
516	0.5106217769
517	0.5103018636
518	0.5097944878
519	0.5095528458
520	0.5089255475
521	0.5085370301
522	0.5081110995
523	0.5077501493
524	0.5072643826
525	0.5062944791
526	0.5059606602
527	0.5056271862
528	0.5053653201
529	0.5050952448
530	0.5044871846
531	0.5040785268
532	0.5037262438
533	0.5032144068
534	0.50295099
535	0.5028191847
536	0.5026240471
537	0.5022255451
538	0.5018203221
539	0.5010863629
540	0.5007633098
541	0.5001405688
542	0.4996811589
543	0.4992215105
544	0.4986609664
545	0.497777645
546	0.4970931207
547	0.4967622431
548	0.4964213295
549	0.4960361629
550	0.4953961871
551	0.4947637501
552	0.4941505382
553	0.4939237301
554	0.4934684708
555	0.4931947389
556	0.4926907969
557	0.4921300652
558	0.4918885612
559	0.491525713
560	0.4908019619
561	0.490477943
562	0.4900371978
563	0.4896689699
564	0.4891715138
565	0.4888121097
566	0.4885293568
567	0.4881079484
568	0.4877905769
569	0.4874194032
570	0.4871020977
571	0.4868168424
572	0.4862325872
573	0.4857057639
574	0.4853274704
575	0.4850475175
576	0.4846344785
577	0.4841068691
578	0.4837378036
579	0.4834938404
580	0.4831069333
581	0.4826206493
582	0.4821877698
583	0.4819043578
584	0.4816668893
585	0.4812290025
586	0.4808376175
587	0.4804264546
588	0.4801495581
589	0.4799251906
590	0.4795335618
591	0.4790959858
592	0.4785432445
593	0.4782274965
594	0.4777340893
595	0.4772887301
596	0.4770885424
597	0.4766725172
598	0.476229232
599	0.4757732179
600	0.4755130928
601	0.4751040831
602	0.4745464779
603	0.4743700595
604	0.4740593052
605	0.4736535908
606	0.4732821015
607	0.472883609
608	0.4725575483
609	0.4722562633
610	0.4718187887
611	0.4714142817
612	0.471133541
613	0.4707831203
614	0.4702924946
615	0.4698232495
616	0.4695117438
617	0.4691960344
618	0.4688557782
619	0.468508868
620	0.4681411493
621	0.4678386886
622	0.467455037
623	0.4670431503
624	0.4666871206
625	0.4665183372
626	0.4663339103
627	0.4661343471
628	0.4657623451
629	0.4652672615
630	0.4648271912
631	0.4645991057
632	0.4643334299
633	0.4640374685
634	0.4636548251
635	0.4633099346
636	0.4629002328
637	0.4625630703
638	0.4622546598
639	0.4619431096
640	0.4617732867
641	0.4613512593
642	0.461051468
643	0.4606336003
644	0.4602945714
645	0.4600492753
646	0.4599046865
647	0.4596617471
648	0.4593193828
649	0.4590243875
650	0.4587358166
651	0.4584492428
652	0.4580363949
653	0.4575679637
654	0.4571548961
655	0.4568182498
656	0.456411466
657	0.456204145
658	0.4557590911
659	0.4554005908
660	0.4548972375
661	0.4545919087
662	0.4541626444
663	0.4539109246
664	0.4535009335
665	0.4531872652
666	0.4527668183
667	0.4523158132
668	0.4520952223
669	0.4518770773
670	0.4513622774
671	0.4510961933
672	0.4506641128
673	0.4503062546
674	0.4499127401
675	0.4496254144
676	0.4493569941
677	0.4490896512
678	0.4487693501
679	0.4483662011
680	0.4482066871
681	0.4479795652
682	0.4477915506
683	0.4472585475
684	0.4469157827
685	0.4464908457
686	0.4460352407
687	0.4455968672
688	0.4451249195
689	0.4450287999
690	0.4447850799
691	0.4444167478
692	0.4442206846
693	0.4437057999
694	0.4435040581
695	0.443257105
696	0.4429643421
697	0.4426730442
698	0.4422947587
699	0.4420169216
700	0.4418162684
701	0.4415502644
702	0.4412614127
703	0.4411142501
704	0.4408161474
705	0.4405337961
706	0.4402170828
707	0.4396902079
708	0.43939512
709	0.4390866715
710	0.4386718638
711	0.438465087
712	0.4382785032
713	0.4380779024
714	0.43775901
715	0.4374311121
716	0.4371636893
717	0.4367634153
718	0.4366827988
719	0.4364702428
720	0.4359827963
721	0.4356982854
722	0.435375034
723	0.4351641135
724	0.4349054512
725	0.434498638
726	0.4341381165
727	0.4338221526
728	0.4336948336
729	0.4335073448
730	0.4330593797
731	0.4327176374
732	0.4325267155
733	0.4322057116
734	0.4318231691
735	0.431365264
736	0.4311274742
737	0.4308335227
738	0.4306328881
739	0.4303633438
740	0.430066421
741	0.4297654928
742	0.4295459861
743	0.4293233836
744	0.4291371428
745	0.428826902
746	0.4285690935
747	0.4281702541
748	0.4278603325
749	0.4276632849
750	0.42750114
751	0.4272495808
752	0.4269262049
753	0.426602636
754	0.4263196013
755	0.4260812668
756	0.4258334755
757	0.4255935713
758	0.4252915456
759	0.4249626656
760	0.4247777364
761	0.4245116061
762	0.4243995644
763	0.4242212837
764	0.4239369201
765	0.4236608008
766	0.4233461212
767	0.4229967428
768	0.4228518578
769	0.4226828293
770	0.4225592181
771	0.4223694475
772	0.4221690311
773	0.4219944296
774	0.4218508912
775	0.421604805
776	0.4212002148
777	0.4209845008
778	0.4206437331
779	0.420358276
780	0.4201621762
781	0.4198215467
782	0.4196214588
783	0.4194462095
784	0.4191508539
785	0.418961061
786	0.4188141765
787	0.4184185928
788	0.4180726807
789	0.4177076148
790	0.4175001774
791	0.4172412341
792	0.4169684382
793	0.4168670618
794	0.4166855897
795	0.4164145235
796	0.4160755626
797	0.4159335946
798	0.4155695609
799	0.415288198
800	0.4149855118
801	0.414815922
802	0.4146099227
803	0.4142942712
804	0.414024364
805	0.4138766645
806	0.4135152452
807	0.4133033927
808	0.4129161881
809	0.4128110772
810	0.4124842758
811	0.4123359646
812	0.4121588993
813	0.4119127721
814	0.4117905255
815	0.411474988
816	0.41125355
817	0.4110807985
818	0.4107808853
819	0.410645135
820	0.4104835607
821	0.4103435832
822	0.4102007032
823	0.4100560051
824	0.4098449582
825	0.4096245373
826	0.4094058969
827	0.4092148304
828	0.4088260608
829	0.4085854752
830	0.4084022391
831	0.4081402277
832	0.4078554629
833	0.4075237424
834	0.4073361103
835	0.407171331
836	0.4069436046
837	0.4067662919
838	0.4063349475
839	0.4058569682
840	0.405595271
841	0.4053164624
842	0.4051697948
843	0.4047739749
844	0.4045993541
845	0.4044243749
846	0.40424537
847	0.4040930794
848	0.4038844359
849	0.4036607205
850	0.4034109459
851	0.4032652499
852	0.4030929909
853	0.4028189994
854	0.4026429213
855	0.402336547
856	0.402074876
857	0.4017187694
858	0.401377463
859	0.4012132684
860	0.4010761281
861	0.4008097538
862	0.4005982325
863	0.4004104165
864	0.4002420423
865	0.4000496146
866	0.3998916768
867	0.3994843386
868	0.3992849567
869	0.3990501106
870	0.3988036103
871	0.3984956224
872	0.3982734237
873	0.397986783
874	0.3977416686
875	0.3975478008
876	0.3972636946
877	0.3969779696
878	0.3967227801
879	0.3964512916
880	0.3962439308
881	0.3960411816
882	0.3958332365
883	0.3956325827
884	0.3954819482
885	0.3952952362
886	0.3949807225
887	0.3947421776
888	0.3946033249
889	0.3943242685
890	0.3941388298
891	0.3938886598
892	0.3936442187
893	0.3934413545
894	0.3932602229
895	0.3931287071
896	0.3929355622
897	0.3927518716
